Name,Rating,Reviews,Address
Jalu para momo center,4.3,16,Drive-through
Randhan Family Dhaba,4.0,87,Delivery
Maa Kali Restaurant,5.0,1,Dine-in
Hotel Rosy,3.7,24,No dine-in
Anu's Fast Food,3.9,36,Drive-through
Hotel Rambo,2.8,76,Takeaway
MOMO PLAZA,3.6,110,No-contact delivery
Food King Restaurant,1.0,1,Takeaway
GOOD FOOD RESTAURANT,2.5,2,Dine-in
Borail View Regency,4.0,0,Polished hotel with a pool & rooftop bar
Kuton Food Center,4.3,7,Takeaway
NANDU RESTAURANT,,0,"RQGQ+PH3, KV Rd"
BIRYANI HUB,3.9,7,Delivery
"""FLAVOURS OF LOVE"" ( A FAMILY RESTAURANT )",4.0,198,"""Great food, cozy ambiance, and friendly service."""
EMA GI HOTEL [ TASTE OF MOM ] Manipuri hotel,,0,No-contact delivery
Barak Valley Cruise - The Floating Restaurant,4.2,18,"""Actually the food and services here was so great."""
J.K Dhaba & Hotel,3.8,34,Drive-through
Hotel JC International,3.8,60,"""Breakfast was complimentary and it was decent."""
Gabbar The Hungers Point / ultimate momos ultimate taste,4.6,110,"""The ambiance and theme of this cozy restaurant is very impressive!"""
Tejpata Restaurant & Fast Food,,0,No-contact delivery
BurgerMansilchar,4.8,62,"""Burgers are yummy......one of best in town."""
CHOTA CHETAN MOMO CENTRE,5.0,1,Takeaway
Shondha Balar Adda,,0,Dine-in
Yumm!,4.6,49,"""The food is very good."""
BISWAJIT KUMAR NATH,1.0,1,Takeaway
Shaade Ahllade,3.8,110,"""Very yummy food loved it ."""
Eclipse - The Restro Lounge,4.0,16,Temporarily closed
Hotel Centre Palace,3.6,638,"""They are having a bar also."""
P.O.P.S. Cookhouse- Meet Your Meat,4.0,43,"""Great food and the menu has many exotic pork dishes which are a must try."""
South Corner,3.7,573,"""Atmosphere is good, location is well."""
VISHNU PRASAD RESTAURANT,4.2,38,Temporarily closed
Shruti Family Restaurant,5.0,1,Temporarily closed
Parijaat Restaurant,3.5,175,"""Good food and ambiance."""
EXIM Fast Food,3.3,9,"""Loved the food and the ambience."""
The Bhoj of Brotherhood cafe & Restaurant,,0,Temporarily closed
HUNGER'S POINT,2.6,5,Temporarily closed
BARBEQUE SHOP,,0,Temporarily closed
Radharaman Hotal,,0,Temporarily closed
SUMITRA RANI DAS,,0,Temporarily closed
Vaishali Hotel,,0,Temporarily closed
Aparna Fast Food Centre,,0,Temporarily closed
Anjali Fast Food Shop,,0,Temporarily closed
Buys Hostel Mess,,0,Temporarily closed
